comp,power,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-no-tank,naked,35,2,pack,300,200,1.000,0.000,0.000,0.959,1.7,0.00,0.041,—,1.687
trio-no-tank,naked,35,2,boss,180,200,1.000,0.000,0.000,0.939,3.0,0.00,0.061,—,1.675
trio-no-tank,naked,35,2,boss,300,200,1.000,0.000,0.000,0.940,3.0,0.00,0.060,—,1.676
trio-no-tank,naked,35,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-no-tank,naked,35,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-no-tank,naked,35,3,pack,180,200,1.000,0.000,0.000,0.885,2.9,0.00,0.115,—,1.644
trio-no-tank,naked,35,3,pack,300,200,1.000,0.000,0.000,0.888,2.9,0.00,0.112,—,1.646
trio-no-tank,naked,35,3,boss,180,200,1.000,0.000,0.000,0.966,5.3,0.00,0.034,—,1.691
trio-no-tank,naked,35,3,boss,300,200,1.000,0.000,0.000,0.958,5.3,0.00,0.042,—,1.686
trio-no-tank,naked,35,4,solo,180,200,1.000,0.000,0.000,0.918,1.1,0.00,0.082,—,1.663
trio-no-tank,naked,35,4,solo,300,200,1.000,0.000,0.000,0.919,1.1,0.00,0.081,—,1.664
trio-no-tank,naked,35,4,pack,180,200,1.000,0.000,0.000,0.663,7.8,0.76,0.337,—,1.518
trio-no-tank,naked,35,4,pack,300,200,1.000,0.000,0.000,0.662,7.8,0.72,0.338,—,1.517
trio-no-tank,naked,35,4,boss,180,200,0.865,0.000,0.135,0.775,14.8,0.73,0.330,—,1.368
trio-no-tank,naked,35,4,boss,300,200,0.925,0.000,0.075,0.756,15.1,0.61,0.301,—,1.453
trio-no-tank,naked,35,5,solo,180,200,1.000,0.000,0.000,0.743,3.5,0.17,0.257,—,1.563
trio-no-tank,naked,35,5,solo,300,200,1.000,0.000,0.000,0.746,3.5,0.18,0.254,—,1.565
trio-no-tank,naked,35,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,5,boss,180,200,0.005,0.000,0.995,0.853,20.8,2.98,0.996,—,0.008
trio-no-tank,naked,35,5,boss,300,200,0.015,0.000,0.985,0.479,24.6,2.97,0.993,—,0.021
trio-no-tank,naked,35,6,solo,180,200,0.630,0.000,0.370,0.539,9.7,1.25,0.660,—,0.912
trio-no-tank,naked,35,6,solo,300,200,0.690,0.000,0.310,0.534,9.9,1.20,0.631,—,0.997
trio-no-tank,naked,35,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,35,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-no-tank,naked,50,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-no-tank,naked,50,1,pack,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-no-tank,naked,50,1,pack,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-no-tank,naked,50,1,boss,180,200,1.000,0.000,0.000,0.984,1.0,0.00,0.016,—,1.790
trio-no-tank,naked,50,1,boss,300,200,1.000,0.000,0.000,0.984,1.0,0.00,0.016,—,1.790
trio-no-tank,naked,50,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-no-tank,naked,50,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-no-tank,naked,50,2,pack,180,200,1.000,0.000,0.000,0.987,0.7,0.00,0.013,—,1.792
trio-no-tank,naked,50,2,pack,300,200,1.000,0.000,0.000,0.988,0.7,0.00,0.012,—,1.793
trio-no-tank,naked,50,2,boss,180,200,1.000,0.000,0.000,0.972,2.0,0.00,0.028,—,1.783
trio-no-tank,naked,50,2,boss,300,200,1.000,0.000,0.000,0.971,2.1,0.00,0.029,—,1.783
trio-no-tank,naked,50,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-no-tank,naked,50,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-no-tank,naked,50,3,pack,180,200,1.000,0.000,0.000,0.943,1.6,0.00,0.057,—,1.766
trio-no-tank,naked,50,3,pack,300,200,1.000,0.000,0.000,0.941,1.6,0.00,0.059,—,1.765
trio-no-tank,naked,50,3,boss,180,200,1.000,0.000,0.000,0.923,3.5,0.00,0.077,—,1.754
trio-no-tank,naked,50,3,boss,300,200,1.000,0.000,0.000,0.929,3.5,0.00,0.071,—,1.758
trio-no-tank,naked,50,4,solo,180,200,1.000,0.000,0.000,0.983,0.3,0.00,0.017,—,1.790
trio-no-tank,naked,50,4,solo,300,200,1.000,0.000,0.000,0.984,0.3,0.00,0.016,—,1.791
trio-no-tank,naked,50,4,pack,180,200,1.000,0.000,0.000,0.864,3.4,0.00,0.136,—,1.718
trio-no-tank,naked,50,4,pack,300,200,1.000,0.000,0.000,0.870,3.5,0.01,0.130,—,1.722
trio-no-tank,naked,50,4,boss,180,200,1.000,0.000,0.000,0.915,7.4,0.00,0.085,—,1.749
trio-no-tank,naked,50,4,boss,300,200,1.000,0.000,0.000,0.920,7.4,0.00,0.080,—,1.752
trio-no-tank,naked,50,5,solo,180,200,1.000,0.000,0.000,0.887,1.9,0.00,0.113,—,1.732
trio-no-tank,naked,50,5,solo,300,200,1.000,0.000,0.000,0.888,1.9,0.00,0.112,—,1.733
trio-no-tank,naked,50,5,pack,180,200,0.590,0.085,0.325,0.691,11.4,1.55,0.568,—,0.952
trio-no-tank,naked,50,5,pack,300,200,0.600,0.105,0.295,0.706,11.3,1.50,0.546,—,0.974
trio-no-tank,naked,50,5,boss,180,200,0.255,0.000,0.745,0.581,18.9,2.49,0.852,—,0.395
trio-no-tank,naked,50,5,boss,300,200,0.300,0.000,0.700,0.553,19.1,2.42,0.834,—,0.460
trio-no-tank,naked,50,6,solo,180,200,1.000,0.000,0.000,0.690,6.0,0.34,0.310,—,1.614
trio-no-tank,naked,50,6,solo,300,200,1.000,0.000,0.000,0.688,6.1,0.40,0.312,—,1.613
trio-no-tank,naked,50,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,naked,50,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,1,solo,180,200,1.000,0.000,0.000,0.985,1.1,0.00,0.015,—,1.499
trio-no-tank,geared,1,1,solo,300,200,1.000,0.000,0.000,0.986,1.0,0.00,0.014,—,1.499
trio-no-tank,geared,1,1,pack,180,200,1.000,0.000,0.000,0.981,10.0,0.00,0.019,—,1.496
trio-no-tank,geared,1,1,pack,300,200,1.000,0.000,0.000,0.979,9.8,0.00,0.021,—,1.495
trio-no-tank,geared,1,1,boss,180,200,1.000,0.000,0.000,0.924,21.3,0.00,0.076,—,1.468
trio-no-tank,geared,1,1,boss,300,200,1.000,0.000,0.000,0.920,21.2,0.00,0.080,—,1.466
trio-no-tank,geared,1,2,solo,180,200,1.000,0.000,0.000,0.969,4.6,0.00,0.031,—,1.491
trio-no-tank,geared,1,2,solo,300,200,1.000,0.000,0.000,0.975,4.7,0.00,0.025,—,1.493
trio-no-tank,geared,1,2,pack,180,200,0.745,0.050,0.205,0.696,32.0,1.35,0.470,—,1.008
trio-no-tank,geared,1,2,pack,300,200,0.650,0.040,0.310,0.696,32.1,1.58,0.535,—,0.880
trio-no-tank,geared,1,2,boss,180,200,0.625,0.025,0.350,0.693,48.2,1.43,0.566,—,0.845
trio-no-tank,geared,1,2,boss,300,200,0.775,0.015,0.210,0.739,46.1,0.97,0.427,—,1.065
trio-no-tank,geared,1,3,solo,180,200,1.000,0.000,0.000,0.832,11.1,0.02,0.168,—,1.422
trio-no-tank,geared,1,3,solo,300,200,1.000,0.000,0.000,0.830,11.0,0.06,0.170,—,1.421
trio-no-tank,geared,1,3,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,3,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,3,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,3,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,4,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,4,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,4,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,4,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,4,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,4,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,5,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,5,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,6,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,6,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,1,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-no-tank,geared,5,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-no-tank,geared,5,1,pack,180,200,1.000,0.000,0.000,0.939,4.1,0.00,0.061,—,1.499
trio-no-tank,geared,5,1,pack,300,200,1.000,0.000,0.000,0.940,4.1,0.00,0.060,—,1.500
trio-no-tank,geared,5,1,boss,180,200,1.000,0.000,0.000,0.961,8.4,0.00,0.039,—,1.510
trio-no-tank,geared,5,1,boss,300,200,1.000,0.000,0.000,0.968,8.4,0.00,0.032,—,1.513
trio-no-tank,geared,5,2,solo,180,200,1.000,0.000,0.000,0.957,1.7,0.00,0.043,—,1.508
trio-no-tank,geared,5,2,solo,300,200,1.000,0.000,0.000,0.959,1.7,0.00,0.041,—,1.509
trio-no-tank,geared,5,2,pack,180,200,1.000,0.000,0.000,0.964,9.5,0.00,0.036,—,1.512
trio-no-tank,geared,5,2,pack,300,200,1.000,0.000,0.000,0.969,9.3,0.00,0.031,—,1.514
trio-no-tank,geared,5,2,boss,180,200,1.000,0.000,0.000,0.933,18.6,0.00,0.067,—,1.496
trio-no-tank,geared,5,2,boss,300,200,1.000,0.000,0.000,0.944,18.6,0.00,0.056,—,1.502
trio-no-tank,geared,5,3,solo,180,200,1.000,0.000,0.000,0.976,4.4,0.00,0.024,—,1.518
trio-no-tank,geared,5,3,solo,300,200,1.000,0.000,0.000,0.978,4.3,0.00,0.022,—,1.519
trio-no-tank,geared,5,3,pack,180,200,0.125,0.010,0.865,0.656,27.8,2.71,0.916,—,0.169
trio-no-tank,geared,5,3,pack,300,200,0.155,0.015,0.830,0.659,28.6,2.67,0.893,—,0.210
trio-no-tank,geared,5,3,boss,180,200,0.050,0.000,0.950,0.564,50.6,2.90,0.972,—,0.065
trio-no-tank,geared,5,3,boss,300,200,0.085,0.000,0.915,0.520,54.1,2.82,0.956,—,0.109
trio-no-tank,geared,5,4,solo,180,200,0.620,0.000,0.380,0.673,12.2,1.50,0.583,—,0.845
trio-no-tank,geared,5,4,solo,300,200,0.635,0.000,0.365,0.706,12.0,1.41,0.551,—,0.876
trio-no-tank,geared,5,4,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,4,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,4,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,4,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,5,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,5,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,6,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,6,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,5,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-no-tank,geared,10,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-no-tank,geared,10,1,pack,180,200,1.000,0.000,0.000,0.946,2.9,0.00,0.054,—,1.532
trio-no-tank,geared,10,1,pack,300,200,1.000,0.000,0.000,0.948,2.9,0.00,0.052,—,1.533
trio-no-tank,geared,10,1,boss,180,200,1.000,0.000,0.000,0.936,4.5,0.00,0.064,—,1.527
trio-no-tank,geared,10,1,boss,300,200,1.000,0.000,0.000,0.936,4.4,0.00,0.064,—,1.526
trio-no-tank,geared,10,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-no-tank,geared,10,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-no-tank,geared,10,2,pack,180,200,1.000,0.000,0.000,0.959,4.6,0.00,0.041,—,1.538
trio-no-tank,geared,10,2,pack,300,200,1.000,0.000,0.000,0.965,4.7,0.00,0.035,—,1.542
trio-no-tank,geared,10,2,boss,180,200,1.000,0.000,0.000,0.967,8.9,0.00,0.033,—,1.543
trio-no-tank,geared,10,2,boss,300,200,1.000,0.000,0.000,0.967,8.8,0.00,0.033,—,1.543
trio-no-tank,geared,10,3,solo,180,200,1.000,0.000,0.000,0.930,1.8,0.00,0.070,—,1.523
trio-no-tank,geared,10,3,solo,300,200,1.000,0.000,0.000,0.930,1.8,0.00,0.070,—,1.524
trio-no-tank,geared,10,3,pack,180,200,1.000,0.000,0.000,0.716,13.6,0.76,0.284,—,1.412
trio-no-tank,geared,10,3,pack,300,200,1.000,0.000,0.000,0.734,13.1,0.71,0.266,—,1.421
trio-no-tank,geared,10,3,boss,180,200,1.000,0.000,0.000,0.912,19.1,0.03,0.088,—,1.514
trio-no-tank,geared,10,3,boss,300,200,0.995,0.000,0.005,0.925,18.6,0.04,0.080,—,1.513
trio-no-tank,geared,10,4,solo,180,200,1.000,0.000,0.000,0.917,5.2,0.00,0.083,—,1.517
trio-no-tank,geared,10,4,solo,300,200,1.000,0.000,0.000,0.900,5.1,0.01,0.100,—,1.508
trio-no-tank,geared,10,4,pack,180,200,0.010,0.000,0.990,0.728,23.9,2.98,0.993,—,0.014
trio-no-tank,geared,10,4,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,4,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,4,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,5,solo,180,200,0.700,0.000,0.300,0.612,13.4,1.22,0.572,—,0.951
trio-no-tank,geared,10,5,solo,300,200,0.685,0.000,0.315,0.591,13.4,1.32,0.595,—,0.923
trio-no-tank,geared,10,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,6,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,6,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,10,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,—,0.000
trio-no-tank,geared,20,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-no-tank,geared,20,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-no-tank,geared,20,1,pack,180,200,1.000,0.000,0.000,0.997,0.3,0.00,0.003,—,1.618
trio-no-tank,geared,20,1,pack,300,200,1.000,0.000,0.000,0.997,0.2,0.00,0.003,—,1.619
trio-no-tank,geared,20,1,boss,180,200,1.000,0.000,0.000,0.978,2.5,0.00,0.022,—,1.608
trio-no-tank,geared,20,1,boss,300,200,1.000,0.000,0.000,0.978,2.5,0.00,0.022,—,1.608
trio-no-tank,geared,20,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-no-tank,geared,20,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-no-tank,geared,20,2,pack,180,200,1.000,0.000,0.000,0.951,2.2,0.00,0.049,—,1.593
trio-no-tank,geared,20,2,pack,300,200,1.000,0.000,0.000,0.952,2.3,0.00,0.048,—,1.594
trio-no-tank,geared,20,2,boss,180,200,1.000,0.000,0.000,0.932,4.1,0.00,0.068,—,1.583
trio-no-tank,geared,20,2,boss,300,200,1.000,0.000,0.000,0.928,4.0,0.00,0.072,—,1.581
trio-no-tank,geared,20,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-no-tank,geared,20,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-no-tank,geared,20,3,pack,180,200,1.000,0.000,0.000,0.981,4.0,0.00,0.019,—,1.610
trio-no-tank,geared,20,3,pack,300,200,1.000,0.000,0.000,0.980,3.9,0.00,0.020,—,1.609
trio-no-tank,geared,20,3,boss,180,200,1.000,0.000,0.000,0.941,8.3,0.00,0.059,—,1.588
trio-no-tank,geared,20,3,boss,300,200,1.000,0.000,0.000,0.949,8.3,0.00,0.051,—,1.593
trio-no-tank,geared,20,4,solo,180,200,1.000,0.000,0.000,0.913,1.7,0.00,0.087,—,1.573
trio-no-tank,geared,20,4,solo,300,200,1.000,0.000,0.000,0.914,1.7,0.00,0.086,—,1.574
trio-no-tank,geared,20,4,pack,180,200,1.000,0.000,0.000,0.746,11.9,0.68,0.254,—,1.483
trio-no-tank,geared,20,4,pack,300,200,1.000,0.000,0.000,0.737,11.9,0.71,0.263,—,1.478
trio-no-tank,geared,20,4,boss,180,200,0.615,0.000,0.385,0.739,23.6,1.46,0.546,—,0.910
trio-no-tank,geared,20,4,boss,300,200,0.635,0.000,0.365,0.763,22.8,1.39,0.516,—,0.947
trio-no-tank,geared,20,5,solo,180,200,1.000,0.000,0.000,0.817,5.3,0.23,0.183,—,1.521
trio-no-tank,geared,20,5,solo,300,200,1.000,0.000,0.000,0.820,5.2,0.27,0.180,—,1.523
